Product,Type,RetailUnit,Comment,kcalPerRetailUnit,gProteinPerRetailUnit,gFatPerRetailUnit,gCarbPerRetailUnit,,,,
Wheat & Rye (Bread),CarbSource,kg,1 kg,2490,82,12,514.1,,,,
Maize (Meal),CarbSource,kg,1 kg of meal (for polenta),3630,84,12,797.1,,,,
Barley (Beer),Extra,L,1 liter of beer ,499.8,5.1,0,119.85,,,,
Oatmeal,CarbSource,kg,1 kg of rolled oats,3840,160,63,661.4,,,,
Rice,CarbSource,kg,1 kg of full grain white or brown rice (dry) ,3600,67,7,817.6,,,,
Potatoes,CarbSource,kg,1 kg of soil free tuber ,670,16,1,149.3,,,,
Cassava,CarbSource,kg,1 kg of soil free tuber ,1090,9,2,259.1,,,,
Cane Sugar,Extra,kg,1 kg of raw/refined sugar ,3870,0,0,967.5,,,,
Beet Sugar,Extra,kg,1 kg of raw/refined sugar ,3870,0,0,967.5,,,, 
Other Pulses,ProteinSource,kg,1 kg of dry pulse without pod ,3460,220,20,601,,,,
Peas,ProteinSource,kg,1 kg of dry pea without pod,3460,225,18,600.4,,,,
Nuts,ProteinSource,kg,1 kg of shell free dry nut,6150,112,562,189.1,,,,
Groundnuts,ProteinSource,kg,1 kg of shell free roasted nut ,5800,268,492,99.6,,,,
Soymilk,ProteinSource,L,1 liter of soymilk (~3.3% protein),556.2,33.99,18.54,64.272,,,,
Coffee,Extra,kg,1 kg of ground roasted beans ,560,80,0,60,,,,
Soybean Oil,FatSource,L,1 liter of refined/filtered oil ,8096,0,920,0,,,,
Palm Oil,FatSource,L,1 liter of refined/filtered oil ,8096,0,920,0,,,,
Sunflower Oil,FatSource,L,1 liter of refined/filtered oil ,8096,0,920,0,,,,
Dark Chocolate,Extra,kg,1 kg of dark chocolate,3930,42,357,155.1,,,,
Rapeseed Oil,FatSource,L,1 liter of refined/filtered oil ,8096,0,920,0,,,,
Olive Oil,FatSource,L,1 liter of refined/filtered oil ,8096,0,920,0,,,,
Onions & Leeks,Vegetable,kg,1 kg of fresh fruit or vegetable ,370,7,1,83.3,,,,
Bananas,Fruit,kg,1 kg of fresh fruit or vegetable ,600,7,3,136.4,,,,
Brassicas,Vegetable,kg,1 kg of fresh fruit or vegetable ,190,10,1,35.3,,,,
Apples,Fruit,kg,1 kg of fresh fruit or vegetable ,480,1,3,112.4,,,,
Citrus Fruit,Fruit,kg,1 kg of fresh fruit or vegetable ,260,5,2,55.6,,,,
Berries & Grapes,Fruit,kg,1 kg of fresh fruit or vegetable ,530,5,4,118.7,,,,
Tofu,ProteinSource,kg,1 kg of tofu (~8% protein),765,82,42,16.85,,,,
Bovine Meat (beef herd),ProteinSource,kg,1 kg of fat and bone-free meat and edible offal ,1500,185,79,16.2,,,,
Wine,Extra,L,1 liter of wine ,680,0,0,170,,,,
Other Fruit,Fruit,kg,1 kg of fresh fruit or vegetable ,450,5,5,96.5,,,,
Poultry Meat,ProteinSource,kg,1 kg of fat and bone-free meat and edible offal ,1220,123,77,12.6,,,,
Eggs,ProteinSource,kg,1 kg of eggs ,1630,113,121,28.3,,,,
Tomatoes,Vegetable,kg,1 kg of fresh fruit or vegetable ,170,8,2,30.1,,,,
Bovine Meat (dairy herd),ProteinSource,kg,,1500,185,79,16.2,,,,
Lamb & Mutton,ProteinSource,kg,1 kg of fat and bone-free meat and edible offal ,1190,128,71,13.3,,,,
Pig Meat,ProteinSource,kg,1 kg of fat and bone-free meat and edible offal ,3260,120,310,13,,,,
Root Vegetables,Vegetable,kg,1 kg of soil free tuber ,380,9,2,81.6,,,,
Milk,ProteinSource,L,1 liter of pasteurized milk (4% fat 3.3% protein),628.3,33.99,33.99,48.307,,,,
Cheese,ProteinSource,kg,1 kg of cheese,3870,250,310,35.5,,,,
Other Vegetables,Vegetable,kg,1 kg of fresh fruit or vegetable ,220,14,2,36.6,,,,
Fish (farmed),ProteinSource,kg,1 kg of edible fish,680,106,24,11.2,,,,
Crustaceans (farmed),ProteinSource,kg,1 kg of head-free meat (shell-free for large shrimp) ,465,93,5,13,,,,
